node1ID,node2ID,branchID,x1,y1,z1,x2,y2,z2,radius,length,R,G,B,time,type,name,suf,suf1,kx,kr,jr,psi,jxl,psi_soil
0,1,0,0,0,-0,0.2972,-0.7516,-0.5888,0.1191,1,1,0,0,0.9379,1,Taproot,-2.6819203583828477,0.0020800781001816004,0.6354837468149122,-4.761953896871205,0.002725429787808413,-14988.27588996898,50.649530697323385,-14783.616
1,2,0,0.2972,-0.7516,-0.5888,0.5841,-1.5476,-1.1219,0.1191,1,1,0,0,1.8856,1,Taproot,-2.682545195526088,0.0020770875589997246,0.6354837468149122,-4.761953896871205,0.0051099723111122765,-14976.55268681298,50.64680526751789,-14587.701750000002
2,3,0,0.5841,-1.5476,-1.1219,0.6888,-2.2557,-1.8202,0.1191,1,1,0,0,2.8435,1,Taproot,-2.6831623918707184,0.002074137808544526,0.6354837468149122,-4.761953896871205,0.008281095169772261,-14964.923133786257,50.24382216944,-14331.0765
3,4,0,0.6888,-2.2557,-1.8202,0.874,-2.7172,-2.6878,0.1191,1,1,0,0,3.8118,1,Taproot,-2.6837645636984555,0.0020712639017500755,0.6354837468149122,-4.761953896871205,0.012259282180047163,-14953.445474101098,49.5896318635182,-14012.233499999998
4,5,0,0.874,-2.7172,-2.6878,1.1269,-3.0531,-3.5951,0.1191,1,1,0,0,4.7907,1,Taproot,-2.6843515444092785,0.0020684663283011876,0.6354837468149122,-4.761953896871205,0.01642841006751111,-14942.13433367715,48.872353039383874,-13678.800749999999
5,6,0,1.1269,-3.0531,-3.5951,1.3694,-3.2879,-4.5364,0.1191,1,1,0,0,5.7803,1,Taproot,-2.6849231566721956,0.002065745632998923,0.6354837468149122,-4.761953896871205,0.02076123581137316,-14930.955889860166,48.301269967009546,-13332.873
6,7,0,1.3694,-3.2879,-4.5364,1.4952,-3.4807,-5.5095,0.1191,1,1,0,0,6.781,1,Taproot,-2.685479047759155,0.0020631031979153774,0.6354837468149122,-4.761953896871205,0.025247304726480867,-14919.9458507545,47.57600446689241,-12975.258749999999
7,8,0,1.4952,-3.4807,-5.5095,1.6109,-3.5826,-6.4976,0.1191,1,1,0,0,7.7931,1,Taproot,-2.6860187985307755,0.0020605407203879767,0.6354837468149122,-4.761953896871205,0.029807013114566086,-14909.118759502693,46.78794939504918,-12612.132000000001
8,9,0,1.6109,-3.5826,-6.4976,1.7193,-3.6526,-7.4892,0.1191,1,1,0,0,8.8167,1,Taproot,-2.6865419937927024,0.002058059878300197,0.6354837468149122,-4.761953896871205,0.034385961533619884,-14898.50855801451,45.853274856413066,-12247.719000000001
9,10,0,1.7193,-3.6526,-7.4892,1.7102,-3.7019,-8.488,0.1191,1,1,0,0,9.8521,1,Taproot,-2.6870483324797565,0.002055661809375659,0.6354837468149122,-4.761953896871205,0.03900186854599428,-14888.099094641982,44.98839393371873,-11880.660000000002
